,Name only,page url,Ref count,nb_journal_citations,citation org,citation gov,citation IPCC,citation com,citationipbes,citationguardian,org score,gov score,com score,Sci score,IPCC score,percentage of official sources,Page id,Edit protection,Page lenght (Bytes),DOB,Creator,Total edits,Recent edits,Formated DOB,Year_month,Year
526,Future-proof,https://en.wikipedia.org/wiki/Future-proof,23,0,2,0,0,1,0,0,0.08695652174,0,0.04347826087,0,0,0.08695652174,1769652,Allow all users (no expiry set),23003,20 April 2005,DuLithgow,220,0,2005-04-20,2005-04,2005
527,Environmental impact of concrete,https://en.wikipedia.org/wiki/Environmental_impact_of_concrete,63,24,8,6,0,14,0,1,0.126984127,0.09523809524,0.2222222222,0.380952381,0,0.6031746032,34355072,Allow all users (no expiry set),53686,12 January 2012,Josh Parris,220,2,2012-01-12,2012-01,2012
528,Southern Australia,https://en.wikipedia.org/wiki/Southern_Australia,32,3,0,16,0,2,0,0,0,0.5,0.0625,0.09375,0,0.59375,1987440,Allow all users (no expiry set),32350,4 June 2005,Grant65,90,0,2005-06-04,2005-06,2005
529,Weather and climate effects on Lyme disease exposure,https://en.wikipedia.org/wiki/Weather_and_climate_effects_on_Lyme_disease_exposure,20,1,1,9,0,2,0,0,0.05,0.45,0.1,0.05,0,0.55,34038842,Allow all users (no expiry set),13180,12 December 2011,Vassarkid,39,1,2011-12-12,2011-12,2011
530,Centre for Social Research,https://en.wikipedia.org/wiki/Centre_for_Social_Research,10,0,5,0,0,3,0,0,0.5,0,0.3,0,0,0.5,33080871,Allow all users (no expiry set),15483,14 September 2011,Deanlist,54,0,2011-09-14,2011-09,2011
531,IPCC Fifth Assessment Report,https://en.wikipedia.org/wiki/IPCC_Fifth_Assessment_Report,28,1,1,1,18,3,0,6,0.03571428571,0.03571428571,0.1071428571,0.03571428571,0.6428571429,0.75,19187635,Allow all users (no expiry set),30090,5 September 2008,Bender235,452,5,2008-09-05,2008-09,2008
532,Carbon Disclosure Project,https://en.wikipedia.org/wiki/Carbon_Disclosure_Project,38,16,2,1,0,9,0,0,0.05263157895,0.02631578947,0.2368421053,0.4210526316,0,0.5,7760240,Allow all users (no expiry set),18924,3 November 2006,Cdpjames,304,5,2006-11-03,2006-11,2006
533,Rio Convention,https://en.wikipedia.org/wiki/Rio_Convention,12,0,3,0,0,0,0,0,0.25,0,0,0,0,0.25,295062,Allow all users (no expiry set),8159,12 August 2003,142.177.82.108,22,0,2003-08-12,2003-08,2003
534,IPCC Second Assessment Report,https://en.wikipedia.org/wiki/IPCC_Second_Assessment_Report,36,5,3,4,13,0,0,0,0.08333333333,0.1111111111,0,0.1388888889,0.3611111111,0.6944444444,1263418,Allow all users (no expiry set),29337,10 December 2004,William M. Connolley,121,1,2004-12-10,2004-12,2004
535,Spectacle case pearly mussel,https://en.wikipedia.org/wiki/Spectacle_case_pearly_mussel,12,1,3,7,0,0,0,0,0.25,0.5833333333,0,0.08333333333,0,0.9166666667,12652897,Allow all users (no expiry set),16540,7 August 2007,Polbot,80,0,2007-08-07,2007-08,2007
536,Energy policy of Russia,https://en.wikipedia.org/wiki/Energy_policy_of_Russia,90,3,20,0,0,46,0,1,0.2222222222,0,0.5111111111,0.03333333333,0,0.2555555556,8909138,Allow all users (no expiry set),59086,13 January 2007,Beagel,457,2,2007-01-13,2007-01,2007
537,Buff-sided robin,https://en.wikipedia.org/wiki/Buff-sided_robin,45,24,1,5,0,1,0,0,0.02222222222,0.1111111111,0.02222222222,0.5333333333,0,0.6666666667,23405767,Allow all users (no expiry set),42414,27 June 2009,Ypna,181,1,2009-06-27,2009-06,2009
538,Scottish Environment Protection Agency,https://en.wikipedia.org/wiki/Scottish_Environment_Protection_Agency,35,0,18,8,0,6,0,0,0.5142857143,0.2285714286,0.1714285714,0,0,0.7428571429,2904171,Allow all users (no expiry set),27932,14 October 2005,Fentonrobb,457,0,2005-10-14,2005-10,2005
539,Africa,https://en.wikipedia.org/wiki/Africa,201,24,26,2,2,59,0,1,0.1293532338,0.009950248756,0.2935323383,0.1194029851,0.009950248756,0.2686567164,5334607,Require administrator access (no expiry set),163740,9 November 2001,Larry_Sanger,7743,11,2001-11-09,2001-11,2001
540,Soil regeneration,https://en.wikipedia.org/wiki/Soil_regeneration,7,1,0,3,1,1,0,0,0,0.4285714286,0.1428571429,0.1428571429,0.1428571429,0.7142857143,48579721,Allow all users (no expiry set),14830,17 November 2015,Farmerleslie,101,2,2015-11-17,2015-11,2015
541,Banksia cuneata,https://en.wikipedia.org/wiki/Banksia_cuneata,37,16,2,6,0,0,0,0,0.05405405405,0.1621621622,0,0.4324324324,0,0.6486486486,3042989,Require administrator access (no expiry set),41489,31 October 2005,Hesperian,343,0,2005-10-31,2005-10,2005
542,Planetary boundaries,https://en.wikipedia.org/wiki/Planetary_boundaries,65,20,9,5,0,5,0,1,0.1384615385,0.07692307692,0.07692307692,0.3076923077,0,0.5230769231,24458151,Allow all users (no expiry set),94783,24 September 2009,Bjornnykvist,1554,121,2009-09-24,2009-09,2009
543,Climate of Seattle,https://en.wikipedia.org/wiki/Climate_of_Seattle,28,1,3,7,0,16,0,0,0.1071428571,0.25,0.5714285714,0.03571428571,0,0.3928571429,67486069,Allow all users (no expiry set),32910,24 April 2021,Buidhe,52,0,2021-04-24,2021-04,2021
544,Tidal flooding,https://en.wikipedia.org/wiki/Tidal_flooding,17,2,2,6,0,5,0,0,0.1176470588,0.3529411765,0.2941176471,0.1176470588,0,0.5882352941,52156276,Allow all users (no expiry set),13634,1 November 2016,B137,82,0,2016-11-01,2016-11,2016
545,Geography of Morocco,https://en.wikipedia.org/wiki/Geography_of_Morocco,17,0,3,7,0,4,0,0,0.1764705882,0.4117647059,0.2352941176,0,0,0.5882352941,19293,Allow all users (no expiry set),29203,23 May 2001,KoyaanisQatsi,337,6,2001-05-23,2001-05,2001
546,Water scarcity,https://en.wikipedia.org/wiki/Water_scarcity,113,26,45,2,3,19,0,1,0.3982300885,0.01769911504,0.1681415929,0.2300884956,0.02654867257,0.6725663717,15380061,Allow all users (no expiry set),89331,23 January 2008,Edward,1392,9,2008-01-23,2008-01,2008
547,Poverty in Africa,https://en.wikipedia.org/wiki/Poverty_in_Africa,31,6,10,1,0,3,0,1,0.3225806452,0.03225806452,0.09677419355,0.1935483871,0,0.5483870968,1952402,Allow all users (no expiry set),34750,28 May 2005,Adjaro,1094,0,2005-05-28,2005-05,2005
548,Environmental issues in Canada,https://en.wikipedia.org/wiki/Environmental_issues_in_Canada,8,1,3,0,0,2,0,0,0.375,0,0.25,0.125,0,0.5,15990964,Allow all users (no expiry set),7446,27 February 2008,Neelix,224,1,2008-02-27,2008-02,2008
549,Andrew Dessler,https://en.wikipedia.org/wiki/Andrew_Dessler,72,25,10,4,0,10,0,1,0.1388888889,0.05555555556,0.1388888889,0.3472222222,0,0.5416666667,13725293,Allow all users (no expiry set),41200,14 October 2007,DBrnstn,165,0,2007-10-14,2007-10,2007
550,Tropical cyclone,https://en.wikipedia.org/wiki/Tropical_cyclone,187,58,34,61,3,19,0,0,0.1818181818,0.3262032086,0.1016042781,0.3101604278,0.01604278075,0.8342245989,8282374,Require administrator access (no expiry set),152587,9 January 2002,203.109.250.xxx,10126,3,2002-01-09,2002-01,2002
551,Climate of the United Kingdom,https://en.wikipedia.org/wiki/Climate_of_the_United_Kingdom,95,1,8,57,0,6,0,5,0.08421052632,0.6,0.06315789474,0.01052631579,0,0.6947368421,84358,Allow all users (no expiry set),130096,12 September 2002,Khendon,2200,0,2002-09-12,2002-09,2002
552,Climateprediction.net,https://en.wikipedia.org/wiki/Climateprediction.net,28,3,3,0,0,4,0,0,0.1071428571,0,0.1428571429,0.1071428571,0,0.2142857143,1142324,Allow all users (no expiry set),29628,7 November 2004,Wikiacc,366,0,2004-11-07,2004-11,2004
553,Carbon sequestration,https://en.wikipedia.org/wiki/Carbon_sequestration,174,61,14,18,3,43,0,5,0.08045977011,0.1034482759,0.2471264368,0.3505747126,0.01724137931,0.5517241379,4535852,Allow all users (no expiry set),114622,3 April 2002,Mav,1215,1,2002-04-03,2002-04,2002
554,Environmental policy of the Donald Trump administration,https://en.wikipedia.org/wiki/Environmental_policy_of_the_Donald_Trump_administration,282,4,35,19,0,204,0,11,0.1241134752,0.06737588652,0.7234042553,0.01418439716,0,0.2056737589,52935795,Allow all users (no expiry set),242309,20 January 2017,Wedsatoms,1116,1,2017-01-20,2017-01,2017
555,Pangaea,https://en.wikipedia.org/wiki/Pangaea,42,22,0,0,0,4,0,0,0,0,0.09523809524,0.5238095238,0,0.5238095238,19654281,Require administrator access (no expiry set),40147,31 January 2002,24.15.135.xxx,5167,2,2002-01-31,2002-01,2002
556,Carol Browner,https://en.wikipedia.org/wiki/Carol_Browner,121,1,13,7,0,74,0,1,0.1074380165,0.05785123967,0.6115702479,0.00826446281,0,0.173553719,726292,Allow all users (no expiry set),76059,15 June 2004,69.197.253.50,622,0,2004-06-15,2004-06,2004
557,2015 Commonwealth Heads of Government Meeting,https://en.wikipedia.org/wiki/2015_Commonwealth_Heads_of_Government_Meeting,43,0,9,0,0,21,0,4,0.2093023256,0,0.488372093,0,0,0.2093023256,41110956,Allow all users (no expiry set),29529,17 November 2013,Alifazal,241,1,2013-11-17,2013-11,2013
558,Judith Curry,https://en.wikipedia.org/wiki/Judith_Curry,33,6,4,2,0,12,0,1,0.1212121212,0.06060606061,0.3636363636,0.1818181818,0,0.3636363636,26549298,Allow all users (no expiry set),24516,14 March 2010,DarknessShines2,691,0,2010-03-14,2010-03,2010
559,Great Green Wall (China),https://en.wikipedia.org/wiki/Great_Green_Wall_(China),15,2,0,1,0,8,0,2,0,0.06666666667,0.5333333333,0.1333333333,0,0.2,10152593,Allow all users (no expiry set),13518,20 March 2007,JuWiki,321,0,2007-03-20,2007-03,2007
560,Monsoon of South Asia,https://en.wikipedia.org/wiki/Monsoon_of_South_Asia,63,11,3,11,1,22,0,0,0.04761904762,0.1746031746,0.3492063492,0.1746031746,0.01587301587,0.4126984127,31096097,Allow all users (no expiry set),52760,6 March 2011,AbhisheksinghWIKI,451,0,2011-03-06,2011-03,2011
561,Irrigation in Peru,https://en.wikipedia.org/wiki/Irrigation_in_Peru,30,2,11,0,0,6,0,0,0.3666666667,0,0.2,0.06666666667,0,0.4333333333,15662616,Allow all users (no expiry set),44323,8 February 2008,Anunezsanchez,349,1,2008-02-08,2008-02,2008
562,Sanitation,https://en.wikipedia.org/wiki/Sanitation,76,10,41,0,0,8,0,0,0.5394736842,0,0.1052631579,0.1315789474,0,0.6710526316,184729,Allow all users (no expiry set),56747,18 February 2003,The Anome,1557,5,2003-02-18,2003-02,2003
563,Subsistence agriculture,https://en.wikipedia.org/wiki/Subsistence_agriculture,20,12,2,0,0,1,0,0,0.1,0,0.05,0.6,0,0.7,323964,Allow all users (no expiry set),19806,21 September 2003,142.177.114.51,830,7,2003-09-21,2003-09,2003
564,Refugium (population biology),https://en.wikipedia.org/wiki/Refugium_(population_biology),21,15,5,0,0,0,0,0,0.2380952381,0,0,0.7142857143,0,0.9523809524,2175118,Allow all users (no expiry set),16425,5 July 2005,Wcalvin,197,0,2005-07-05,2005-07,2005
565,Water resources management in El Salvador,https://en.wikipedia.org/wiki/Water_resources_management_in_El_Salvador,28,1,7,2,0,1,0,0,0.25,0.07142857143,0.03571428571,0.03571428571,0,0.3571428571,26609937,Allow all users (no expiry set),32786,19 March 2010,Miguelaaron,194,0,2010-03-19,2010-03,2010
566,Tuvalu–United States relations,https://en.wikipedia.org/wiki/Tuvalu%E2%80%93United_States_relations,29,1,4,8,0,3,0,0,0.1379310345,0.275862069,0.1034482759,0.03448275862,0,0.4482758621,15997078,Allow all users (no expiry set),18515,28 February 2008,Mangostar,128,0,2008-02-28,2008-02,2008
567,Dave Lowe (atmospheric scientist),https://en.wikipedia.org/wiki/Dave_Lowe_(atmospheric_scientist),42,0,4,2,5,3,0,1,0.09523809524,0.04761904762,0.07142857143,0,0.119047619,0.2619047619,65653530,Allow all users (no expiry set),38184,22 October 2020,Realitylink,75,0,2020-10-22,2020-10,2020
568,Fertilizer,https://en.wikipedia.org/wiki/Fertilizer,128,51,20,11,0,18,0,0,0.15625,0.0859375,0.140625,0.3984375,0,0.640625,37401,Allow all users (no expiry set),86364,25 February 2002,130.94.122.xxx,4334,6,2002-02-25,2002-02,2002
569,East Asia Climate Partnership,https://en.wikipedia.org/wiki/East_Asia_Climate_Partnership,2,0,0,0,0,0,0,0,0,0,0,0,0,0,30332064,Allow all users (no expiry set),10143,6 January 2011,Hellohowareyou1234,41,0,2011-01-06,2011-01,2011
570,Ground level ozone,https://en.wikipedia.org/wiki/Ground_level_ozone,46,10,10,12,1,4,0,0,0.2173913043,0.2608695652,0.08695652174,0.2173913043,0.02173913043,0.7173913043,215051,Allow all users (no expiry set),30476,23 April 2003,Jedidan747,290,1,2003-04-23,2003-04,2003
571,Indur M. Goklany,https://en.wikipedia.org/wiki/Indur_M._Goklany,16,4,5,0,0,5,0,0,0.3125,0,0.3125,0.25,0,0.5625,27440854,Allow all users (no expiry set),10317,22 May 2010,DarknessShines2,171,0,2010-05-22,2010-05,2010
572,World Scientists' Warning to Humanity,https://en.wikipedia.org/wiki/World_Scientists%27_Warning_to_Humanity,0,0,0,0,0,0,0,0,,,,,,,2016744,Allow all users (no expiry set),12839,9 June 2005,Kegill,163,1,2005-06-09,2005-06,2005
573,Environmental disaster,https://en.wikipedia.org/wiki/Environmental_disaster,16,0,5,1,0,5,0,1,0.3125,0.0625,0.3125,0,0,0.375,569415,Allow all users (no expiry set),13206,1 April 2004,Turmeric3,311,6,2004-04-01,2004-04,2004
574,Holocene extinction,https://en.wikipedia.org/wiki/Holocene_extinction,270,103,29,4,0,62,2,28,0.1074074074,0.01481481481,0.2296296296,0.3814814815,0,0.5111111111,14208,Allow all users (no expiry set),170550,28 November 2001,The Epopt,2483,20,2001-11-28,2001-11,2001
575,Climate and Development Knowledge Network,https://en.wikipedia.org/wiki/Climate_and_Development_Knowledge_Network,31,0,18,1,0,6,0,0,0.5806451613,0.03225806452,0.1935483871,0,0,0.6129032258,36899265,Allow all users (no expiry set),21326,2 September 2012,Monsoon Waves,123,0,2012-09-02,2012-09,2012
576,Marsh organ,https://en.wikipedia.org/wiki/Marsh_organ,10,9,0,1,0,0,0,0,0,0.1,0,0.9,0,1,67568559,Allow all users (no expiry set),10394,3 May 2021,AnonScience123,36,0,2021-05-03,2021-05,2021
577,Grassland,https://en.wikipedia.org/wiki/Grassland,63,20,17,4,0,3,0,0,0.2698412698,0.06349206349,0.04761904762,0.3174603175,0,0.6507936508,198842,Allow all users (no expiry set),47712,19 March 2003,Anthere,4170,15,2003-03-19,2003-03,2003
578,Arctic National Wildlife Refuge,https://en.wikipedia.org/wiki/Arctic_National_Wildlife_Refuge,46,0,12,10,0,17,0,1,0.2608695652,0.2173913043,0.3695652174,0,0,0.4782608696,82065,Allow all users (no expiry set),38754,8 September 2002,Andrew Schaaf,906,1,2002-09-08,2002-09,2002
579,Great Barrier Reef,https://en.wikipedia.org/wiki/Great_Barrier_Reef,144,7,14,54,1,34,0,5,0.09722222222,0.375,0.2361111111,0.04861111111,0.006944444444,0.5277777778,70983,Require administrator access (no expiry set),108975,13 August 2002,Karen Johnson,5788,1,2002-08-13,2002-08,2002
580,Susie Wood,https://en.wikipedia.org/wiki/Susie_Wood,50,11,14,2,0,6,0,0,0.28,0.04,0.12,0.22,0,0.54,67889249,Allow all users (no expiry set),48242,7 June 2021,Realitylink,78,9,2021-06-07,2021-06,2021
581,Xiuhtezcatl Martinez,https://en.wikipedia.org/wiki/Xiuhtezcatl_Martinez,28,0,3,0,0,16,0,5,0.1071428571,0,0.5714285714,0,0,0.1071428571,50922535,Allow all users (no expiry set),17357,25 June 2016,Another Believer,345,0,2016-06-25,2016-06,2016
582,Water cycle,https://en.wikipedia.org/wiki/Water_cycle,47,10,11,9,1,5,0,0,0.2340425532,0.1914893617,0.1063829787,0.2127659574,0.02127659574,0.6595744681,200167,Require autoconfirmed or confirmed access (no expiry set),45472,23 March 2003,Ruminator,4381,3,2003-03-23,2003-03,2003
583,Geography of Kenya,https://en.wikipedia.org/wiki/Geography_of_Kenya,3,1,0,1,0,1,0,0,0,0.3333333333,0.3333333333,0.3333333333,0,0.6666666667,16654,Allow all users (no expiry set),14581,11 May 2001,KoyaanisQatsi,598,2,2001-05-11,2001-05,2001
584,2019 mass invasion of Russian polar bears,https://en.wikipedia.org/wiki/2019_mass_invasion_of_Russian_polar_bears,6,0,0,0,0,4,0,1,0,0,0.6666666667,0,0,0,59953747,Allow all users (no expiry set),6523,14 February 2019,Forest90,56,0,2019-02-14,2019-02,2019
585,David Wratt,https://en.wikipedia.org/wiki/David_Wratt,48,11,7,3,6,3,0,0,0.1458333333,0.0625,0.0625,0.2291666667,0.125,0.5625,24639838,Allow all users (no expiry set),49704,10 October 2009,Mrfebruary,241,0,2009-10-10,2009-10,2009
586,Giant Pacific octopus,https://en.wikipedia.org/wiki/Giant_Pacific_octopus,38,14,7,1,0,3,0,0,0.1842105263,0.02631578947,0.07894736842,0.3684210526,0,0.5789473684,5675394,Allow all users (no expiry set),28314,23 June 2006,Monkeyfishninja,778,2,2006-06-23,2006-06,2006
587,David Suzuki,https://en.wikipedia.org/wiki/David_Suzuki,80,0,14,1,0,21,0,0,0.175,0.0125,0.2625,0,0,0.1875,149128,Require administrator access (no expiry set),47460,19 November 2002,65.95.145.177,2948,6,2002-11-19,2002-11,2002
588,Ken Caldeira,https://en.wikipedia.org/wiki/Ken_Caldeira,28,2,6,1,2,11,0,0,0.2142857143,0.03571428571,0.3928571429,0.07142857143,0.07142857143,0.3928571429,17433076,Allow all users (no expiry set),14122,15 May 2008,Make comment,191,0,2008-05-15,2008-05,2008
589,Meat,https://en.wikipedia.org/wiki/Meat,161,45,19,8,0,35,0,17,0.1180124224,0.04968944099,0.2173913043,0.2795031056,0,0.4472049689,18940,Require autoconfirmed or confirmed access (no expiry set),135862,3 April 2001,Lee Daniel Crocker,5170,6,2001-04-03,2001-04,2001
590,Earth's energy budget,https://en.wikipedia.org/wiki/Earth%27s_energy_budget,62,27,4,14,12,3,0,0,0.06451612903,0.2258064516,0.04838709677,0.435483871,0.1935483871,0.9193548387,944638,Allow all users (no expiry set),53525,30 August 2004,Heron,788,1,2004-08-30,2004-08,2004
591,Jordan Peterson,https://en.wikipedia.org/wiki/Jordan_Peterson,225,22,5,0,0,129,0,9,0.02222222222,0,0.5733333333,0.09777777778,0,0.12,30483032,Allow all users (no expiry set),144146,15 January 2011,RT Wolf,3120,40,2011-01-15,2011-01,2011
592,The Wall Street Journal,https://en.wikipedia.org/wiki/The_Wall_Street_Journal,156,9,31,2,0,94,0,5,0.1987179487,0.01282051282,0.6025641026,0.05769230769,0,0.2692307692,173070,Allow all users (no expiry set),105996,23 January 2003,Poitypoity,2895,8,2003-01-23,2003-01,2003
593,Special Report on Emissions Scenarios,https://en.wikipedia.org/wiki/Special_Report_on_Emissions_Scenarios,42,9,3,0,12,0,0,1,0.07142857143,0,0,0.2142857143,0.2857142857,0.5714285714,1916444,Allow all users (no expiry set),38519,20 May 2005,William M. Connolley,307,0,2005-05-20,2005-05,2005
594,Fire regime,https://en.wikipedia.org/wiki/Fire_regime,21,9,3,4,0,0,0,0,0.1428571429,0.1904761905,0,0.4285714286,0,0.7619047619,22453208,Allow all users (no expiry set),23425,17 April 2009,Hesperian,77,0,2009-04-17,2009-04,2009
595,Political positions of Donald Trump,https://en.wikipedia.org/wiki/Political_positions_of_Donald_Trump,444,1,53,12,0,355,0,5,0.1193693694,0.02702702703,0.7995495495,0.002252252252,0,0.1486486486,47290767,Allow all users (no expiry set),226680,20 July 2015,JayJasper,2864,5,2015-07-20,2015-07,2015
596,Geography of Vietnam,https://en.wikipedia.org/wiki/Geography_of_Vietnam,11,2,2,1,0,2,0,0,0.1818181818,0.09090909091,0.1818181818,0.1818181818,0,0.4545454545,32378,Allow all users (no expiry set),24978,27 March 2001,TimShell,531,2,2001-03-27,2001-03,2001
597,Reservoir,https://en.wikipedia.org/wiki/Reservoir,54,6,8,4,0,9,0,0,0.1481481481,0.07407407407,0.1666666667,0.1111111111,0,0.3333333333,3292675,Allow all users (no expiry set),47255,1 December 2005,Pigsonthewing,1270,0,2005-12-01,2005-12,2005
598,Biodegradable waste,https://en.wikipedia.org/wiki/Biodegradable_waste,10,0,1,4,0,1,0,0,0.1,0.4,0.1,0,0,0.5,6043426,Allow all users (no expiry set),6193,20 July 2006,Vortexrealm,573,4,2006-07-20,2006-07,2006
599,Geography of China,https://en.wikipedia.org/wiki/Geography_of_China,26,3,6,3,0,12,0,0,0.2307692308,0.1153846154,0.4615384615,0.1153846154,0,0.4615384615,23237,Allow all users (no expiry set),56989,23 April 2001,Koyaanisqatsi,2144,6,2001-04-23,2001-04,2001
600,Agriculture in Thailand,https://en.wikipedia.org/wiki/Agriculture_in_Thailand,91,5,16,0,0,54,0,1,0.1758241758,0,0.5934065934,0.05494505495,0,0.2307692308,3467679,Allow all users (no expiry set),69156,19 December 2005,Lindsay.falvey,340,1,2005-12-19,2005-12,2005
601,Geography of Liberia,https://en.wikipedia.org/wiki/Geography_of_Liberia,2,0,0,0,0,1,0,0,0,0,0.5,0,0,0,17793,Allow all users (no expiry set),6593,9 August 2001,Buttonius,142,0,2001-08-09,2001-08,2001
602,Ross Garnaut,https://en.wikipedia.org/wiki/Ross_Garnaut,34,0,14,2,0,13,0,0,0.4117647059,0.05882352941,0.3823529412,0,0,0.4705882353,14641289,Allow all users (no expiry set),26827,10 December 2007,Robgregory2302,203,1,2007-12-10,2007-12,2007
